#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 250000      9.57e-01      4.46e-03      5.73e-02    2.8e-04
 251000      8.51e-01      2.10e-03      5.10e-02    2.8e-04
 252000      6.98e-01      4.28e-03      4.17e-02    2.8e-04
 253000      8.22e-01      4.21e-03      4.92e-02    2.8e-04
 254000      9.72e-01      1.72e-02      5.71e-02    2.8e-04
 255000      1.68e+00      5.62e-04      1.02e-01    2.7e-04
 256000      8.84e-01      1.07e-02      5.32e-02    2.7e-04
 257000      7.04e-01      3.49e-03      4.27e-02    2.7e-04
 258000      7.73e-01      8.94e-04      4.70e-02    2.7e-04
 259000      9.72e-01      6.18e-03      5.89e-02    2.7e-04
 260000      7.67e-01      1.12e-02      4.66e-02    2.6e-04
 261000      1.71e+00      2.32e-03      1.05e-01    2.6e-04
 262000      9.36e-01      1.23e-02      5.69e-02    2.6e-04
 263000      8.27e-01      1.06e-03      5.09e-02    2.6e-04
 264000      7.74e-01      6.45e-05      4.76e-02    2.6e-04
 265000      5.99e-01      1.27e-04      3.73e-02    2.6e-04
 266000      7.47e-01      6.49e-03      4.63e-02    2.6e-04
 267000      9.87e-01      2.92e-03      6.14e-02    2.6e-04
 268000      1.09e+00      6.00e-03      6.81e-02    2.6e-04
 269000      8.01e-01      1.20e-04      4.99e-02    2.6e-04
 270000      9.46e-01      7.36e-03      5.94e-02    2.5e-04
 271000      6.97e-01      4.80e-03      4.39e-02    2.5e-04
 272000      8.40e-01      3.11e-03      5.30e-02    2.5e-04
 273000      1.01e+00      9.63e-03      6.31e-02    2.5e-04
 274000      9.41e-01      1.08e-03      5.94e-02    2.5e-04
 275000      8.96e-01      1.20e-02      5.66e-02    2.4e-04
 276000      7.25e-01      7.87e-03      4.60e-02    2.4e-04
 277000      1.01e+00      7.63e-03      6.40e-02    2.4e-04
 278000      1.75e+00      6.61e-03      1.12e-01    2.4e-04
 279000      7.39e-01      1.43e-03      4.72e-02    2.4e-04
 280000      7.42e-01      7.07e-03      4.77e-02    2.4e-04
 281000      8.62e-01      3.48e-03      5.57e-02    2.4e-04
 282000      7.11e-01      1.93e-03      4.60e-02    2.4e-04
 283000      8.58e-01      3.97e-03      5.55e-02    2.4e-04
 284000      5.94e-01      9.22e-03      3.78e-02    2.4e-04
 285000      8.48e-01      7.72e-05      5.56e-02    2.3e-04
 286000      8.32e-01      2.30e-02      5.14e-02    2.3e-04
 287000      6.85e-01      3.57e-03      4.48e-02    2.3e-04
 288000      9.99e-01      5.62e-03      6.54e-02    2.3e-04
 289000      6.46e-01      7.35e-04      4.23e-02    2.3e-04
 290000      7.33e-01      3.51e-03      4.86e-02    2.3e-04
 291000      9.56e-01      3.36e-04      6.35e-02    2.3e-04
 292000      9.41e-01      5.51e-03      6.23e-02    2.3e-04
 293000      7.79e-01      3.02e-03      5.17e-02    2.3e-04
 294000      7.41e-01      8.09e-03      4.88e-02    2.3e-04
 295000      1.06e+00      1.25e-03      7.14e-02    2.2e-04
 296000      6.86e-01      6.60e-03      4.58e-02    2.2e-04
 297000      7.85e-01      1.11e-03      5.28e-02    2.2e-04
 298000      6.81e-01      3.75e-03      4.57e-02    2.2e-04
 299000      7.59e-01      3.81e-04      5.11e-02    2.2e-04
 300000      6.76e-01      1.30e-03      4.60e-02    2.1e-04
 301000      7.59e-01      1.46e-02      5.04e-02    2.1e-04
 302000      7.38e-01      1.24e-03      5.03e-02    2.1e-04
 303000      6.72e-01      1.14e-02      4.48e-02    2.1e-04
 304000      9.16e-01      4.58e-03      6.23e-02    2.1e-04
 305000      8.22e-01      1.41e-04      5.67e-02    2.1e-04
 306000      8.53e-01      8.57e-04      5.89e-02    2.1e-04
 307000      7.34e-01      4.45e-03      5.05e-02    2.1e-04
 308000      7.50e-01      4.28e-03      5.16e-02    2.1e-04
 309000      8.68e-01      6.13e-03      5.97e-02    2.1e-04
 310000      6.58e-01      6.96e-04      4.60e-02    2.0e-04
 311000      9.28e-01      1.81e-03      6.48e-02    2.0e-04
 312000      5.94e-01      3.41e-03      4.14e-02    2.0e-04
 313000      6.36e-01      4.76e-03      4.43e-02    2.0e-04
 314000      8.59e-01      2.79e-03      6.00e-02    2.0e-04
 315000      6.98e-01      4.36e-03      4.93e-02    2.0e-04
 316000      8.74e-01      6.09e-03      6.16e-02    2.0e-04
 317000      7.22e-01      9.21e-03      5.05e-02    2.0e-04
 318000      7.69e-01      4.71e-03      5.43e-02    2.0e-04
